Feature_1,Feature_2,Label
5.2483570765056164,2.433851703179834,0
4.930867849414407,2.831741870893856,0
5.323844269050346,2.862914193389292,1
5.761514928204012,2.6790890923113526,1
4.882923312638332,2.9354857153335963,0
4.88293152152541,3.1616203427258154,1
5.789606407753696,3.7544743604842123,1
5.383717364576454,3.0698311251327355,1
4.765262807032524,3.1030201562891055,0
5.2712800217929825,2.970221633693533,1
4.768291153593768,2.232491513880383,0
4.767135123214872,2.9893944498203133,0
5.120981135783017,3.0240920839764107,1
4.043359877671101,3.9852968449941146,1
4.137541083743484,2.923055614087551,0
4.718856235379514,3.120618936933445,0
4.493584439832788,2.9861152921179026,0
5.157123666297637,2.532528784952187,0
4.545987962239394,3.4571291258060084,1
4.293848149332354,3.30077321307471,0
5.732824384460777,3.316412778817219,1
4.8871118497567325,2.6362450180821044,0
5.033764102343962,3.56111772437444,1
4.287625906893272,2.4392595748830876,0
4.727808637737409,3.234742837520108,0
5.055461294854933,3.8761822503239913,1
4.424503211288848,2.6037854699477245,0
5.187849009172836,2.7734809081588914,0
4.699680655040598,3.0398605460350563,0
4.854153125103362,2.7986097383535204,0
4.699146693885302,2.379734627573547,0
5.926139092254469,3.0274251899224107,1
4.993251387631033,2.575078514509558,0
4.47114453552205,3.1894369722540725,0
5.411272456051594,2.6322303063064787,1
4.389578175014488,3.6199737620070156,1
5.104431797502378,2.6866986830655053,0
4.0201649380601125,2.8711753935177295,0
4.335906975550785,3.325406886947868,0
5.098430617934562,2.507654273426418,0
5.369233289997705,3.090983973841652,1
5.085684140594985,3.5228571017129715,1
4.9421758588058795,2.357006706175509,0
4.849448152205356,3.0738535434129215,0
4.260739004816286,3.1039531176993695,0
4.640077895802646,3.312729148710924,0
4.769680614520106,2.505219715648767,0
5.528561113109458,2.4718173547662894,1
5.1718091447842305,3.208776626246759,1
4.118479922318633,3.1187938692932744,0
5.162041984697398,3.100197140138351,1
4.807458859791842,3.1385792837987903,0
4.6615389998470205,2.727990111368604,0
5.305838144420434,3.0929014788644014,1
5.515499761247975,3.1172289893194725,1
5.465640059558099,2.714259432789453,1
4.580391238388681,3.7463098044579026,1
4.845393812074393,3.189533168364715,1
5.165631715701782,2.5234786011189403,0
5.48777256356118,3.262621443453532,1
4.760412881077355,2.610127331909071,0
4.907170511668092,3.3148338414969807,1
4.446832512996986,3.4634382316029617,0
4.401896687959665,2.6717270726593156,0
5.406262911197099,3.385350451697729,1
5.678120014285412,3.165112370774599,1
4.963994939209833,3.328824063997796,1
5.501766448946012,3.758717193061579,1
5.180818012523817,2.901844753598852,1
4.677440122697438,2.698505534257004,0
5.1806978027542065,2.6441942281497908,0
5.769018283232985,2.6736758860138248,1
4.9820869804450245,2.969159316234358,0
5.782321827907003,3.1364607899266574,1
3.6901274479551276,3.1106763197320078,0
5.410951252187612,3.3308732996144097,1
5.043523534119085,3.005200756751163,1
4.850496324767066,3.5814136308629267,1
5.045880388267751,2.8941372667048175,0
4.006215542699554,4.0880676666358475,1
4.890164056081244,3.2502669391060026,1
5.178556285755874,2.657136977433487,0
5.738947022370758,2.571643000775555,1
4.740864890863176,3.192988966097274,0
4.595753198553406,2.9106148858696597,0
4.749121478207732,3.2856001976368368,1
5.457701058851037,3.189295049829418,1
5.164375554829842,2.970868434937251,1
4.735119898116481,2.661282512772638,0
5.256633716556678,2.394061110125654,0
5.04853877467402,2.8213940191731917,0
5.484322495266444,3.3425595177293888,1
4.648973453061323,3.0856374976520815,0
4.836168926701116,2.501704488515205,0
4.803945923433921,3.0692723703404727,0
4.268242525933941,3.1541269518915347,0
5.148060138532288,2.6464570255195468,0
5.130527636089945,3.061490042378211,1
5.00255672832123,3.0232834873784,1
4.882706433312427,2.5428118808677507,0
